Column 1,Column 2,Correlation
mp,starts,0.91
mp,min,0.92
mp,90s,0.92
starts,mp,0.91
starts,min,0.99
starts,90s,0.99
min,mp,0.92
min,starts,0.99
90s,mp,0.92
90s,starts,0.99
goals,g/sh,0.7
shots,sot,0.72
shots,touattpen,0.73
sot,shots,0.72
g/sh,goals,0.7
g/sh,g/sot,0.83
g/sot,g/sh,0.83
shopk,pkatt,0.87
pkatt,shopk,0.87
pastotcmp,pastotatt,0.97
pastotcmp,pastotdist,0.93
pastotcmp,passhocmp,0.8
pastotcmp,passhoatt,0.75
pastotcmp,pasmedcmp,0.91
pastotcmp,pasmedatt,0.9
pastotcmp,pas3rd,0.67
pastotcmp,paslive,0.97
pastotcmp,pasground,0.96
pastotcmp,touches,0.93
pastotcmp,toumid3rd,0.81
pastotcmp,toulive,0.91
pastotcmp,carries,0.88
pastotcmp,cartotdist,0.74
pastotcmp,carprgdist,0.61
pastotcmp,rectarg,0.65
pastotcmp,rec,0.89
pastotatt,pastotcmp,0.97
pastotatt,pastotdist,0.9
pastotatt,pastotprgdist,0.63
pastotatt,passhocmp,0.79
pastotatt,passhoatt,0.76
pastotatt,pasmedcmp,0.87
pastotatt,pasmedatt,0.89
pastotatt,pas3rd,0.67
pastotatt,paslive,0.97
pastotatt,pasground,0.92
pastotatt,touches,0.96
pastotatt,toumid3rd,0.8
pastotatt,toulive,0.92
pastotatt,carries,0.88
pastotatt,cartotdist,0.74
pastotatt,carprgdist,0.63
pastotatt,rectarg,0.65
pastotatt,rec,0.88
pastotdist,pastotcmp,0.93
pastotdist,pastotatt,0.9
pastotdist,pastotprgdist,0.79
pastotdist,pasmedcmp,0.92
pastotdist,pasmedatt,0.89
pastotdist,pasloncmp,0.83
pastotdist,paslonatt,0.7
pastotdist,pas3rd,0.62
pastotdist,paslive,0.88
pastotdist,pasground,0.87
pastotdist,touches,0.82
pastotdist,toudef3rd,0.68
pastotdist,toumid3rd,0.66
pastotdist,toulive,0.79
pastotdist,carries,0.74
pastotdist,cartotdist,0.62
pastotdist,rec,0.74
pastotdist,rec%,0.66
pastotprgdist,pastotatt,0.63
pastotprgdist,pastotdist,0.79
pastotprgdist,pasmedcmp,0.63
pastotprgdist,pasloncmp,0.8
pastotprgdist,paslonatt,0.83
pastotprgdist,pashigh,0.71
pastotprgdist,toudefpen,0.64
pastotprgdist,toudef3rd,0.79
pastotprgdist,rec%,0.66
passhocmp,pastotcmp,0.8
passhocmp,pastotatt,0.79
passhocmp,passhoatt,0.98
passhocmp,paslive,0.79
passhocmp,pasground,0.79
passhocmp,touches,0.81
passhocmp,toumid3rd,0.74
passhocmp,toulive,0.8
passhocmp,carries,0.83
passhocmp,cartotdist,0.67
passhocmp,rectarg,0.75
passhocmp,rec,0.84
passhoatt,pastotcmp,0.75
passhoatt,pastotatt,0.76
passhoatt,passhocmp,0.98
passhoatt,paslive,0.77
passhoatt,pasground,0.76
passhoatt,touches,0.8
passhoatt,toumid3rd,0.75
passhoatt,touatt3rd,0.61
passhoatt,toulive,0.8
passhoatt,carries,0.81
passhoatt,cartotdist,0.66
passhoatt,rectarg,0.78
passhoatt,rec,0.83
pasmedcmp,pastotcmp,0.91
pasmedcmp,pastotatt,0.87
pasmedcmp,pastotdist,0.92
pasmedcmp,pastotprgdist,0.63
pasmedcmp,pasmedatt,0.98
pasmedcmp,pasloncmp,0.61
pasmedcmp,paslive,0.87
pasmedcmp,pasground,0.88
pasmedcmp,touches,0.81
pasmedcmp,toumid3rd,0.72
pasmedcmp,toulive,0.8
pasmedcmp,carries,0.73
pasmedcmp,cartotdist,0.62
pasmedcmp,rec,0.74
pasmedatt,pastotcmp,0.9
pasmedatt,pastotatt,0.89
pasmedatt,pastotdist,0.89
pasmedatt,pasmedcmp,0.98
pasmedatt,paslive,0.89
pasmedatt,pasground,0.87
pasmedatt,touches,0.84
pasmedatt,toumid3rd,0.75
pasmedatt,toulive,0.82
pasmedatt,carries,0.75
pasmedatt,cartotdist,0.64
pasmedatt,rec,0.75
pasloncmp,pastotdist,0.83
pasloncmp,pastotprgdist,0.8
pasloncmp,pasmedcmp,0.61
pasloncmp,paslonatt,0.88
pasloncmp,toudef3rd,0.71
paslonatt,pastotdist,0.7
paslonatt,pastotprgdist,0.83
paslonatt,pasloncmp,0.88
paslonatt,pasfk,0.63
paslonatt,pashigh,0.81
paslonatt,toudefpen,0.65
paslonatt,toudef3rd,0.74
paslonatt,rec%,0.61
assists,gca,0.87
assists,gcapasslive,0.88
pasass,ppa,0.64
pasass,sca,0.8
pasass,scapasslive,0.78
pasass,touatt3rd,0.61
pas3rd,pastotcmp,0.67
pas3rd,pastotatt,0.67
pas3rd,pastotdist,0.62
pas3rd,pasprog,0.73
pas3rd,paslive,0.69
pas3rd,pasground,0.64
pas3rd,touches,0.66
pas3rd,toumid3rd,0.72
pas3rd,toulive,0.67
pas3rd,carries,0.64
pas3rd,cartotdist,0.61
pas3rd,rec,0.66
ppa,pasass,0.64
ppa,crspa,0.61
crspa,ppa,0.61
crspa,pascrs,0.62
pasprog,pas3rd,0.73
pasprog,paslive,0.61
pasprog,touches,0.63
pasprog,toumid3rd,0.66
pasprog,toulive,0.63
pasprog,carries,0.62
paslive,pastotcmp,0.97
paslive,pastotatt,0.97
paslive,pastotdist,0.88
paslive,passhocmp,0.79
paslive,passhoatt,0.77
paslive,pasmedcmp,0.87
paslive,pasmedatt,0.89
paslive,pas3rd,0.69
paslive,pasprog,0.61
paslive,pasground,0.96
paslive,paswright,0.61
paslive,touches,0.95
paslive,toumid3rd,0.85
paslive,toulive,0.96
paslive,carries,0.91
paslive,cartotdist,0.77
paslive,carprgdist,0.64
paslive,rectarg,0.71
paslive,rec,0.93
pasdead,pashigh,0.65
pasdead,ti,0.73
pasfk,paslonatt,0.63
pascrs,crspa,0.62
ck,ckin,0.81
ck,ckout,0.78
ck,scapassdead,0.63
ckin,ck,0.81
ckout,ck,0.78
ckout,scapassdead,0.61
pasground,pastotcmp,0.96
pasground,pastotatt,0.92
pasground,pastotdist,0.87
pasground,passhocmp,0.79
pasground,passhoatt,0.76
pasground,pasmedcmp,0.88
pasground,pasmedatt,0.87
pasground,pas3rd,0.64
pasground,paslive,0.96
pasground,touches,0.9
pasground,toumid3rd,0.82
pasground,toulive,0.92
pasground,carries,0.91
pasground,cartotdist,0.76
pasground,carprgdist,0.63
pasground,rectarg,0.7
pasground,rec,0.91
paslow,ti,0.71
pashigh,pastotprgdist,0.71
pashigh,paslonatt,0.81
pashigh,pasdead,0.65
paswright,paslive,0.61
ti,pasdead,0.73
ti,paslow,0.71
paswother,toudefpen,0.72
sca,pasass,0.8
sca,scapasslive,0.92
sca,touatt3rd,0.61
scapasslive,pasass,0.78
scapasslive,sca,0.92
scapassdead,ck,0.63
scapassdead,ckout,0.61
scafld,pkwon,0.64
gca,assists,0.87
gca,gcapasslive,0.93
gca,gcadrib,0.73
gcapasslive,assists,0.88
gcapasslive,gca,0.93
gcadrib,gca,0.73
tkl,tklwon,0.85
tkl,tkldef3rd,0.71
tkl,tklmid3rd,0.68
tkl,tkldri,0.65
tkl,tkl_int,0.84
tklwon,tkl,0.85
tklwon,tklmid3rd,0.63
tklwon,tkl_int,0.71
tkldef3rd,tkl,0.71
tkldef3rd,tkl_int,0.67
tklmid3rd,tkl,0.68
tklmid3rd,tklwon,0.63
tkldri,tkl,0.65
tkldri,tkldriatt,0.66
tkldri,tkldri%,0.63
tkldriatt,tkldri,0.66
tkldriatt,tkldripast,0.84
tkldri%,tkldri,0.63
tkldripast,tkldriatt,0.84
press,pressucc,0.75
press,presmid3rd,0.86
press,presatt3rd,0.67
pressucc,press,0.75
pressucc,presmid3rd,0.63
presmid3rd,press,0.86
presmid3rd,pressucc,0.63
presatt3rd,press,0.67
presatt3rd,recprog,0.66
blocks,blkpass,0.93
blkpass,blocks,0.93
int,tkl_int,0.79
tkl_int,tkl,0.84
tkl_int,tklwon,0.71
tkl_int,tkldef3rd,0.67
tkl_int,int,0.79
touches,pastotcmp,0.93
touches,pastotatt,0.96
touches,pastotdist,0.82
touches,passhocmp,0.81
touches,passhoatt,0.8
touches,pasmedcmp,0.81
touches,pasmedatt,0.84
touches,pas3rd,0.66
touches,pasprog,0.63
touches,paslive,0.95
touches,pasground,0.9
touches,toumid3rd,0.84
touches,toulive,0.98
touches,carries,0.92
touches,cartotdist,0.77
touches,carprgdist,0.66
touches,rectarg,0.74
touches,rec,0.92
toudefpen,pastotprgdist,0.64
toudefpen,paslonatt,0.65
toudefpen,paswother,0.72
toudefpen,toudef3rd,0.72
toudef3rd,pastotdist,0.68
toudef3rd,pastotprgdist,0.79
toudef3rd,pasloncmp,0.71
toudef3rd,paslonatt,0.74
toudef3rd,toudefpen,0.72
toudef3rd,rec%,0.69
toumid3rd,pastotcmp,0.81
toumid3rd,pastotatt,0.8
toumid3rd,pastotdist,0.66
toumid3rd,passhocmp,0.74
toumid3rd,passhoatt,0.75
toumid3rd,pasmedcmp,0.72
toumid3rd,pasmedatt,0.75
toumid3rd,pas3rd,0.72
toumid3rd,pasprog,0.66
toumid3rd,paslive,0.85
toumid3rd,pasground,0.82
toumid3rd,touches,0.84
toumid3rd,toulive,0.88
toumid3rd,carries,0.82
toumid3rd,cartotdist,0.69
toumid3rd,rectarg,0.71
toumid3rd,rec,0.83
touatt3rd,passhoatt,0.61
touatt3rd,pasass,0.61
touatt3rd,sca,0.61
touatt3rd,touattpen,0.65
touatt3rd,carprog,0.66
touatt3rd,car3rd,0.62
touatt3rd,rectarg,0.65
touatt3rd,recprog,0.71
touattpen,shots,0.73
touattpen,touatt3rd,0.65
touattpen,recprog,0.75
toulive,pastotcmp,0.91
toulive,pastotatt,0.92
toulive,pastotdist,0.79
toulive,passhocmp,0.8
toulive,passhoatt,0.8
toulive,pasmedcmp,0.8
toulive,pasmedatt,0.82
toulive,pas3rd,0.67
toulive,pasprog,0.63
toulive,paslive,0.96
toulive,pasground,0.92
toulive,touches,0.98
toulive,toumid3rd,0.88
toulive,carries,0.93
toulive,cartotdist,0.79
toulive,carprgdist,0.67
toulive,rectarg,0.79
toulive,rec,0.94
drisucc,driatt,0.87
drisucc,dripast,0.98
driatt,drisucc,0.87
driatt,dripast,0.89
dripast,drisucc,0.98
dripast,driatt,0.89
carries,pastotcmp,0.88
carries,pastotatt,0.88
carries,pastotdist,0.74
carries,passhocmp,0.83
carries,passhoatt,0.81
carries,pasmedcmp,0.73
carries,pasmedatt,0.75
carries,pas3rd,0.64
carries,pasprog,0.62
carries,paslive,0.91
carries,pasground,0.91
carries,touches,0.92
carries,toumid3rd,0.82
carries,toulive,0.93
carries,cartotdist,0.86
carries,carprgdist,0.74
carries,carprog,0.62
carries,rectarg,0.83
carries,rec,0.96
cartotdist,pastotcmp,0.74
cartotdist,pastotatt,0.74
cartotdist,pastotdist,0.62
cartotdist,passhocmp,0.67
cartotdist,passhoatt,0.66
cartotdist,pasmedcmp,0.62
cartotdist,pasmedatt,0.64
cartotdist,pas3rd,0.61
cartotdist,paslive,0.77
cartotdist,pasground,0.76
cartotdist,touches,0.77
cartotdist,toumid3rd,0.69
cartotdist,toulive,0.79
cartotdist,carries,0.86
cartotdist,carprgdist,0.94
cartotdist,carprog,0.74
cartotdist,rectarg,0.68
cartotdist,rec,0.8
carprgdist,pastotcmp,0.61
carprgdist,pastotatt,0.63
carprgdist,paslive,0.64
carprgdist,pasground,0.63
carprgdist,touches,0.66
carprgdist,toulive,0.67
carprgdist,carries,0.74
carprgdist,cartotdist,0.94
carprgdist,carprog,0.79
carprgdist,car3rd,0.62
carprgdist,rec,0.68
carprog,touatt3rd,0.66
carprog,carries,0.62
carprog,cartotdist,0.74
carprog,carprgdist,0.79
carprog,car3rd,0.71
car3rd,touatt3rd,0.62
car3rd,carprgdist,0.62
car3rd,carprog,0.71
carmis,recprog,0.63
rectarg,pastotcmp,0.65
rectarg,pastotatt,0.65
rectarg,passhocmp,0.75
rectarg,passhoatt,0.78
rectarg,paslive,0.71
rectarg,pasground,0.7
rectarg,touches,0.74
rectarg,toumid3rd,0.71
rectarg,touatt3rd,0.65
rectarg,toulive,0.79
rectarg,carries,0.83
rectarg,cartotdist,0.68
rectarg,rec,0.89
rec,pastotcmp,0.89
rec,pastotatt,0.88
rec,pastotdist,0.74
rec,passhocmp,0.84
rec,passhoatt,0.83
rec,pasmedcmp,0.74
rec,pasmedatt,0.75
rec,pas3rd,0.66
rec,paslive,0.93
rec,pasground,0.91
rec,touches,0.92
rec,toumid3rd,0.83
rec,toulive,0.94
rec,carries,0.96
rec,cartotdist,0.8
rec,carprgdist,0.68
rec,rectarg,0.89
rec%,pastotdist,0.66
rec%,pastotprgdist,0.66
rec%,paslonatt,0.61
rec%,toudef3rd,0.69
recprog,presatt3rd,0.66
recprog,touatt3rd,0.71
recprog,touattpen,0.75
recprog,carmis,0.63
pkwon,scafld,0.64
